train_1,agriculture clear primary water
train_2,clear primary
train_3,clear primary
train_4,agriculture clear habitation primary road
train_6,agriculture clear cultivation primary water
train_8,agriculture clear cultivation primary
train_9,agriculture clear cultivation primary road
train_10,agriculture clear primary slash_burn water
train_11,clear primary water
train_13,clear primary
train_15,clear primary
train_16,clear primary
train_18,clear primary
train_19,agriculture clear primary road
train_20,agriculture clear primary water
train_21,clear primary road water
train_23,agriculture clear primary road
train_25,clear primary
train_28,clear primary
train_30,clear primary water
train_31,clear cultivation primary
train_32,agriculture clear primary road
train_34,clear primary
train_35,clear primary
train_36,agriculture clear primary road
train_38,clear primary
train_39,clear primary
train_40,agriculture clear cultivation primary
train_41,agriculture clear primary
train_42,clear primary
train_44,clear primary
train_45,clear primary
train_46,bare_ground clear habitation primary
train_47,clear primary water
train_48,clear primary water
train_49,clear primary
train_51,clear primary
train_52,agriculture clear habitation primary road water
train_53,clear primary
train_54,clear primary
train_56,clear primary water
train_57,artisinal_mine bare_ground clear primary water
train_58,agriculture clear primary road
train_59,agriculture clear habitation primary road
train_61,clear primary
train_62,clear primary water
train_63,agriculture clear primary road
train_64,agriculture clear primary
train_65,clear primary
train_66,agriculture clear primary road
train_67,clear habitation primary road
train_69,clear primary
train_70,blooming clear primary
train_71,clear primary water
train_73,clear primary
train_75,agriculture clear primary road water
train_78,clear primary
train_79,clear cultivation primary
train_81,clear primary
train_82,blooming clear cultivation habitation primary slash_burn
train_83,clear primary
train_84,agriculture clear habitation primary road
train_85,clear primary water
train_86,clear primary
train_89,clear primary
train_92,agriculture clear habitation primary road
train_93,clear primary
train_94,agriculture clear habitation primary road
train_95,clear primary
train_96,clear primary
train_98,clear primary
train_100,bare_ground clear water
train_102,clear primary
train_103,agriculture clear habitation primary road water
train_105,clear primary
train_106,clear primary
train_109,clear primary
train_110,clear primary
train_112,agriculture clear primary road
train_113,agriculture clear primary
train_114,clear primary water
train_115,clear primary water
train_116,agriculture clear primary road
train_117,clear primary
train_119,agriculture clear primary road water
train_120,clear primary
train_122,agriculture clear primary road
train_123,agriculture bare_ground clear habitation primary road
train_124,bare_ground clear primary
train_125,agriculture clear primary
train_126,agriculture clear primary road
train_127,clear primary
train_128,clear primary
train_129,agriculture clear primary
train_131,agriculture clear primary road water
train_134,clear primary
train_135,clear primary water
train_137,clear primary
train_139,clear primary
train_140,clear primary
train_142,agriculture clear habitation primary road
train_146,clear cultivation primary
train_147,clear primary
train_148,agriculture clear cultivation primary water
train_149,clear primary
train_151,agriculture clear cultivation primary selective_logging
train_153,clear primary
train_154,clear primary
train_155,clear primary
train_156,clear primary water
train_158,agriculture clear primary water
train_159,agriculture clear primary road
train_163,clear primary
train_164,clear primary
train_165,clear primary water
