train_0,haze primary
train_5,haze primary water
train_7,haze primary
train_43,bare_ground haze
train_60,haze primary
train_104,haze primary
train_132,haze primary
train_133,haze primary
train_136,haze primary
train_152,haze primary
train_180,haze primary
train_196,haze primary
train_215,haze primary water
train_228,agriculture haze primary road water
train_241,agriculture haze primary road
train_248,haze primary
train_315,agriculture haze primary road
train_325,haze primary
train_332,haze primary
train_341,haze primary
train_351,agriculture haze primary road
train_360,haze primary
train_363,haze primary water
train_367,haze primary
train_388,agriculture haze primary
train_406,agriculture haze primary water
train_414,haze primary
train_417,haze primary
train_426,haze primary water
train_432,haze primary
train_454,haze primary water
train_458,haze primary
train_460,haze primary
train_504,haze primary water
train_518,agriculture haze primary road water
train_554,haze primary
train_562,agriculture haze primary
train_581,haze primary water
train_625,haze primary
train_654,haze primary
train_661,agriculture haze primary
train_688,agriculture haze primary road
train_690,agriculture haze primary road
train_704,haze primary
train_740,haze primary water
train_775,haze primary
train_800,agriculture haze primary
train_807,haze primary
train_849,habitation haze primary road
train_879,agriculture haze primary
train_885,cultivation haze primary
train_920,haze primary
train_963,haze primary
train_965,haze primary
train_968,haze primary
train_987,agriculture haze primary
train_989,haze primary water
train_1022,haze primary
train_1053,haze primary
train_1104,cultivation haze primary
train_1113,haze primary
train_1121,haze primary
train_1147,haze primary
train_1149,haze primary
train_1153,haze primary
train_1161,haze primary
train_1184,agriculture haze primary water
train_1229,agriculture haze primary road water
train_1230,agriculture haze primary
train_1232,haze primary
train_1236,haze primary
train_1268,haze primary
train_1298,agriculture haze primary
train_1313,haze primary
train_1315,haze primary
train_1320,agriculture haze primary water
train_1321,haze primary
train_1363,haze primary road
train_1384,agriculture haze primary water
train_1389,haze primary road water
train_1396,haze primary
train_1410,haze primary
train_1454,haze primary
train_1456,agriculture haze
train_1471,haze primary
train_1496,haze primary
train_1507,agriculture haze primary
train_1516,agriculture habitation haze primary road
train_1546,agriculture haze primary road
train_1558,agriculture haze primary
train_1559,agriculture cultivation haze primary
train_1562,haze primary
train_1571,haze primary
train_1585,haze primary
train_1592,cultivation haze primary
train_1594,agriculture habitation haze primary road
train_1596,haze primary water
train_1604,haze primary
train_1639,haze primary road
train_1642,haze primary
train_1646,agriculture haze primary water
train_1680,haze primary
train_1703,haze primary
train_1729,haze primary
train_1736,agriculture haze primary water
train_1739,haze primary
train_1748,haze primary
train_1757,haze primary
train_1758,haze primary
train_1764,agriculture cultivation haze primary
train_1798,haze primary road
train_1801,agriculture haze primary road
train_1804,agriculture cultivation haze primary
train_1821,haze primary
train_1840,agriculture cultivation haze primary road water
train_1854,haze primary road water
train_1872,haze primary
train_1874,agriculture cultivation haze primary
train_1880,haze primary
train_1905,haze primary water
train_1962,agriculture haze primary water
train_1971,agriculture cultivation habitation haze primary road
train_1991,haze primary
train_1995,habitation haze primary
train_2000,haze primary
train_2002,haze primary
train_2007,agriculture haze primary road
train_2015,haze primary
train_2023,haze primary
train_2030,haze primary
train_2057,haze primary
train_2081,haze primary water
train_2084,agriculture cultivation cultivation haze primary road
train_2096,agriculture haze primary road
train_2098,haze primary
train_2101,haze primary
train_2126,haze primary
train_2136,haze primary
train_2161,agriculture haze primary
train_2172,haze primary road water
train_2178,haze primary water
train_2180,haze primary
train_2187,haze primary
train_2188,haze primary water
train_2198,haze primary
train_2200,haze primary
train_2205,haze primary
train_2235,haze primary
train_2254,agriculture cultivation haze primary road
train_2256,haze primary road selective_logging
train_2308,haze primary
train_2318,agriculture haze primary road
train_2326,haze primary
train_2327,haze primary water
train_2346,haze primary road
train_2358,haze primary
train_2365,haze primary
train_2395,agriculture haze primary water
train_2400,agriculture haze primary
train_2437,haze primary water
train_2439,haze primary
train_2440,agriculture habitation haze primary
train_2453,haze primary
train_2458,haze primary
train_2470,agriculture habitation haze primary
train_2482,haze primary
train_2519,haze primary
train_2526,agriculture haze primary
train_2594,haze primary
train_2595,agriculture haze primary water
train_2598,haze primary
train_2618,haze primary
train_2635,haze primary water
train_2641,haze primary
train_2666,haze primary
train_2669,agriculture haze primary road
train_2671,agriculture haze primary road
train_2676,haze primary
train_2682,agriculture haze primary
train_2687,haze primary water
train_2696,haze primary
train_2700,haze primary
train_2731,agriculture haze primary water
train_2732,agriculture bare_ground cultivation haze primary water
train_2735,haze primary
train_2779,haze primary
train_2802,haze primary
train_2814,agriculture haze primary road
train_2818,agriculture haze primary road water
train_2842,haze primary
train_2855,haze primary
train_2864,haze primary
train_2866,haze primary
train_2891,haze primary water
train_2903,haze primary road
train_2908,haze primary
train_2916,haze primary
train_2933,haze primary
train_2953,haze primary
train_2970,agriculture cultivation haze primary water
train_2979,haze primary
train_3007,haze primary water
train_3043,haze primary
train_3066,agriculture haze primary water
train_3071,haze primary
train_3077,haze primary
train_3090,haze primary
train_3113,agriculture cultivation haze primary road water
train_3129,haze primary
train_3146,haze primary
train_3168,haze primary
train_3171,haze primary
train_3179,haze primary
train_3207,haze primary
train_3208,haze primary
train_3216,haze primary
train_3223,haze primary
train_3228,habitation haze primary water
train_3229,haze primary
train_3232,agriculture cultivation haze primary
train_3235,agriculture haze road
train_3240,haze primary
train_3250,agriculture haze primary water
train_3258,haze primary
train_3259,haze primary
train_3263,haze primary
train_3265,haze primary
train_3266,haze primary
train_3268,agriculture haze primary
train_3270,haze primary
train_3279,haze primary water
train_3305,haze primary
train_3316,haze primary
train_3321,haze primary
train_3333,haze primary
train_3344,haze primary
train_3365,haze primary
train_3379,haze primary
train_3390,agriculture haze primary
train_3394,haze primary
train_3397,haze primary
train_3398,haze primary
train_3401,haze primary
train_3413,haze primary
train_3423,haze primary
train_3424,haze primary water
train_3440,agriculture cultivation haze primary
train_3445,agriculture haze water
train_3452,haze primary
train_3461,cultivation haze primary
train_3463,agriculture haze road
train_3481,agriculture haze primary road
train_3501,habitation haze primary water
train_3515,cultivation haze primary
train_3521,haze primary
train_3532,agriculture habitation haze primary road
train_3534,haze primary
train_3543,agriculture haze primary water
train_3561,haze water
train_3564,agriculture haze primary
train_3569,haze primary
train_3575,haze primary water
train_3577,haze primary
train_3610,haze primary
train_3630,haze primary
train_3639,haze primary road water
train_3669,haze primary
train_3673,agriculture habitation haze primary water
train_3678,agriculture habitation haze primary road
train_3680,haze primary
train_3687,haze primary
train_3688,agriculture cultivation haze primary
train_3696,haze primary
train_3701,haze primary water
train_3707,haze primary
train_3708,haze primary
train_3715,agriculture cultivation haze primary road
train_3717,agriculture haze primary
train_3720,haze primary water
train_3740,haze primary
train_3747,haze primary
train_3749,agriculture habitation haze primary road
train_3769,haze primary
train_3794,agriculture haze primary road water
train_3799,haze primary
train_3812,agriculture haze primary road
train_3813,haze primary
train_3911,haze primary
train_3917,haze primary
train_3931,agriculture haze primary road water
train_3941,haze primary
train_3942,haze primary
train_3949,haze primary road water
train_3954,agriculture habitation haze primary road
